player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
250899,846,5,1,5,5,0,FALSE,0,consecutive-repeat
251447,847,5,8,12,5,0,FALSE,0,consecutive-repeat
251565,848,6,5,12,8,2,TRUE,1,repeated-with-gap
251570,849,2,8,11,4,2,TRUE,1,repeated-with-gap
252924,850,1,9,9,1,0,FALSE,0,one-season
254188,851,1,2,2,1,0,FALSE,0,one-season
254189,852,1,4,4,1,0,FALSE,0,one-season
254408,853,10,2,11,10,0,FALSE,0,consecutive-repeat
254649,854,1,11,11,1,0,FALSE,0,one-season
254898,855,2,6,7,2,0,FALSE,0,consecutive-repeat
255254,856,1,2,2,1,0,FALSE,0,one-season
255256,857,3,5,11,7,4,TRUE,1,repeated-with-gap
255433,858,2,1,2,2,0,FALSE,0,consecutive-repeat
255738,859,2,2,4,3,1,TRUE,1,repeated-with-gap
256854,860,1,5,5,1,0,FALSE,0,one-season
256998,861,4,1,11,11,7,TRUE,1,repeated-with-gap
257752,862,1,3,3,1,0,FALSE,0,one-season
258022,863,4,9,12,4,0,FALSE,0,consecutive-repeat
258264,864,1,6,6,1,0,FALSE,0,one-season
258591,865,4,8,11,4,0,FALSE,0,consecutive-repeat
258625,866,1,8,8,1,0,FALSE,0,one-season
258907,867,1,6,6,1,0,FALSE,0,one-season
259946,868,2,2,4,3,1,TRUE,1,repeated-with-gap
261127,869,6,4,11,8,2,TRUE,1,repeated-with-gap
262121,870,1,7,7,1,0,FALSE,0,one-season
263091,871,6,4,11,8,2,TRUE,1,repeated-with-gap
263105,872,7,4,12,9,2,TRUE,1,repeated-with-gap
263147,873,1,8,8,1,0,FALSE,0,one-season
265369,874,1,3,3,1,0,FALSE,0,one-season
265376,875,1,5,5,1,0,FALSE,0,one-season
265807,876,1,4,4,1,0,FALSE,0,one-season
265833,877,1,8,8,1,0,FALSE,0,one-season
265864,878,7,4,10,7,0,FALSE,0,consecutive-repeat
