feature_k,feature_l,obs_corr,pred_corr,pred_lo,pred_hi
per90_dribbles,per90_xg_assist,0.6216670200948292,0.5766173980809562,0.5379370466037285,0.6045993047784438
per90_progressive_run,per90_xg_assist,0.4968087971021902,0.4892694881295625,0.46507260014251284,0.5124124946910755
per90_accelerations,per90_xg_assist,0.4629005587674965,0.42165701431403463,0.3850234661384273,0.4501251386426796
rate_successful_dribbles,per90_xg_assist,-0.10870766623592593,-0.1072703754185659,-0.13017957248616246,-0.08345970256853062
per90_touch_in_box,per90_xg_assist,0.523470555006195,0.4484919137506417,0.4223945561953504,0.47103258125569647
per90_losses,per90_xg_assist,0.4003004555236909,0.34466393585929533,0.31416159400466803,0.3741088776080051
per90_own_half_losses,per90_xg_assist,-0.3386200576612598,-0.30664343909955905,-0.3295796744167565,-0.281887935417083
per90_dangerous_own_half_losses,per90_xg_assist,-0.38918601964385363,-0.3757599569654067,-0.395312818646109,-0.3553561453669216
per90_recoveries,per90_xg_assist,-0.48014731436448393,-0.4561503093473162,-0.4780063975568965,-0.43222528175314884
per90_opponent_half_recoveries,per90_xg_assist,0.10565771078056317,0.1702867550145937,0.13825084135252372,0.20443664464581374
per90_dangerous_opponent_half_recoveries,per90_xg_assist,0.3471655170474918,0.32459775041671973,0.3000998835080867,0.3472424766886319
per90_interceptions,per90_xg_assist,-0.4383813094238655,-0.4466179075806158,-0.4728231579579727,-0.4183057178518101
per90_clearances,per90_xg_assist,-0.5488036377942068,-0.5816522985894366,-0.6003099619989832,-0.5610202268928781
per90_shots_blocked,per90_xg_assist,-0.48873498964863804,-0.493859961243245,-0.51394489836043,-0.47495076460190067
per90_defensive_duels,per90_xg_assist,-0.126261446317954,-0.08273093653029683,-0.11423065696344054,-0.05254150921538801
