component,observed_variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail
residual,rate_successful_progressive_passes,0.4681622545375,0.4680525,0.01189312295014809,0.448538533,0.4879557265,0.9998320170602152,2610.2146940025623,3443.0314479221947
residual,rate_successful_crosses,0.9771450433475,0.976806615,0.02364217834825208,0.9388617125,1.016139425,1.0018039165741195,828.6843265683132,1639.8044707882643
residual,per90_dribbles,0.1156768036625,0.11561907,0.00286079601080418,0.111041834,0.120389557,0.999953314927647,3177.362968818564,3029.744824545138
residual,per90_progressive_run,0.201201954855,0.201133345,0.00488599530176995,0.19347895600000004,0.209515769,1.0020471017984722,3066.891734621711,2533.777700170614
residual,per90_accelerations,0.2627336834125,0.262587905,0.00645501864548896,0.252361209,0.273392802,0.9995748162793654,2836.840105196721,2893.3361760866605
residual,rate_successful_dribbles,0.7647649446875,0.764327145,0.01804665969740768,0.7360110854999999,0.794273502,1.0007318935027378,2739.387491080665,2959.180905432749
residual,per90_touch_in_box,0.12169301904,0.12157493,0.00300520695670958,0.11690461500000002,0.126763078,1.0019934683886096,3095.1417981707914,3408.6655826397882
residual,per90_losses,0.184638891285,0.184617,0.00460474667680731,0.17718398500000002,0.1922679,1.0001837916827572,2932.559514391776,3145.2916759152213
residual,per90_own_half_losses,0.3189622192225,0.318877225,0.00800752247531374,0.3060971335,0.332448046,1.0004336404660257,3043.8063137646627,2783.883221338972
residual,per90_dangerous_own_half_losses,0.5199737051425,0.5199840499999999,0.01283106708508672,0.499123032,0.541372866,1.00094107364372,2611.601076725532,3319.079290939554
residual,per90_recoveries,0.098992523897,0.098931376,0.00242810152483684,0.0950550554,0.1029828285,1.0007777244180371,3075.946377834423,3158.6987175745526
residual,per90_opponent_half_recoveries,0.20444598897,0.20429569,0.00511267592670009,0.1963036395,0.213231506,0.9996005223238764,3301.2950007329823,3347.5156445903776
residual,per90_dangerous_opponent_half_recoveries,0.5228566863125,0.522825895,0.012896939762331871,0.502017448,0.5445587215,1.001137387027121,2597.1367310370324,3205.8909840365577
residual,per90_interceptions,0.15736487236,0.15734997499999998,0.00390436559664587,0.1509603425,0.1636960325,1.0005741222393898,2769.759130486462,2985.0806602972375
residual,per90_clearances,0.1358551568625,0.13579127000000002,0.00338627497902404,0.1304051165,0.141399677,0.999935932665993,3051.975012386885,3227.5400656682923
residual,per90_shots_blocked,0.335866741515,0.33567436,0.0083917792734502,0.32226371950000005,0.3498865515,1.0025865135459564,3315.4429037503064,3069.533718768246
residual,per90_defensive_duels,0.1470627028775,0.146975585,0.00357209983072066,0.141305483,0.153050123,1.0007479965703376,2958.657470671152,2957.7236143169243
residual,per90_offensive_duels,0.083949630884,0.0839555505,0.00203820802563704,0.0806659916,0.08727798415,1.000318347133316,3213.6920011890547,3195.9222881444703
residual,per90_aerial_duels,0.1385110209625,0.138420645,0.00344505156806649,0.1328800355,0.14408390899999998,1.0005637876810585,2975.458185773281,3105.9064943037424
residual,per90_pressing_duels,0.226479849085,0.226330285,0.00553407323775216,0.217783194,0.2358510345,1.0014323721458125,2658.5056296494067,2865.506154433034
residual,per90_loose_ball_duels,0.177717506495,0.17764735,0.00443148652351064,0.17050390199999998,0.184918342,0.9999341799171712,3589.8027828637246,3187.853962927494
residual,per90_sliding_tackles,0.2956588560975,0.295752055,0.00732766664874998,0.28378788949999995,0.307862126,1.0030087313277976,2625.017497670089,3009.998233357878
residual,per90_dribbles_against,0.1859734837,0.185897095,0.00455283426323667,0.17867639950000003,0.1934422695,1.0002990196947597,2889.6799101427696,3287.718249457308
residual,rate_defensive_duels_won,0.66043783349,0.66009032,0.01624636890518983,0.6344159745,0.6874350955,1.0010026309709097,2732.137651734014,3179.853075066792
residual,rate_offensive_duels_won,0.58070523899,0.58034641,0.01452006178247015,0.557029369,0.6051534344999999,1.0012830119863545,2781.264134680851,3078.076566414782
residual,rate_aerial_duels_won,0.2299081652825,0.229835475,0.00560013656836922,0.220947953,0.2391578435,1.0016769022171146,2670.3908125948246,2921.0716986691914
residual,rate_dribbles_against_won,0.8204266745575,0.8200113950000001,0.02046411731393903,0.7869568815000001,0.8534983125000001,1.0011007503545448,2649.071070013013,3132.626358256968
residual,rate_successful_sliding_tackles,0.9380056299575,0.938070975,0.02196861014554575,0.902221286,0.9744733715,1.0022291171357507,2866.4710279128267,2876.800964107591
residual,per90_fouls,0.259587323335,0.259540305,0.00636012771041942,0.2495580995,0.26993842500000004,1.0001382681281312,2936.538936932111,2870.6954748229564
residual,per90_fouls_suffered,0.211053683695,0.211024475,0.00519281423293016,0.2027233915,0.21952821299999997,1.0010004715759564,2598.6152999814135,3213.980356462313
residual,per90_yellow_cards,0.5586935517575,0.5580800450000001,0.01378851716970572,0.5366451615,0.581650029,1.0004065921016416,2938.832457535922,3306.5604742134265
