query_player_index,query_player_name,query_archetype,neighbor_index,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,player_name,archetype
834,Iñaki Williams,Forwards,1341,0.493471137429878,0.160127566689853,0.9882734281812267,0.08175,Ferrán Jutglà,Forwards
834,Iñaki Williams,Forwards,1430,0.4948189619283787,0.18906544939157408,0.8573976541558248,0.045,W. Swedberg,Forwards
834,Iñaki Williams,Forwards,658,0.5075170908777927,0.2557302612209145,0.8283395185420995,0.015,E. Ávila,Forwards
834,Iñaki Williams,Forwards,1041,0.5185173407180358,0.290572848036616,0.8251143244347532,0.008,Mikel Oyarzabal,Attacking midfielders
834,Iñaki Williams,Forwards,1102,0.540396872935368,0.1868740769224891,0.9979942926186481,0.0615,A. Danjuma,Attacking midfielders
807,J. Giménez,Centre backs,953,0.3362726347947272,0.10937106954678116,0.6768716594568122,0.03775,M. Diakhaby,Centre backs
807,J. Giménez,Centre backs,646,0.34778051483946887,0.11995870658429758,0.6588453717673979,0.03025,G. Pezzella,Centre backs
807,J. Giménez,Centre backs,713,0.3499580116384304,0.11494696245337777,0.6978647389069643,0.037,Ó. Duarte,Centre backs
807,J. Giménez,Centre backs,439,0.3514217323791832,0.1320763844446401,0.637119978632078,0.0245,S. Savić,Centre backs
807,J. Giménez,Centre backs,620,0.3518120844060782,0.12155954946764291,0.670900385271218,0.03075,Daniel Carriço,Centre backs
807,J. Giménez,Centre backs,576,0.3746556436127624,0.12932223487577044,0.7072552170002049,0.026,Felipe,Centre backs
807,J. Giménez,Centre backs,161,0.37920883543601835,0.12626458506231217,0.71502884153872,0.02325,Iván Ramis,Centre backs
807,J. Giménez,Centre backs,1011,0.3840908390928378,0.1608828558082542,0.6848759558469292,0.01375,Unai Núñez,Centre backs
807,J. Giménez,Centre backs,185,0.38799135612822533,0.13040345855303814,0.7243588196271366,0.024,B. Espinosa,Centre backs
807,J. Giménez,Centre backs,125,0.3920708454140947,0.13109441105696967,0.7445344887197015,0.02425,M. Musacchio,Centre backs
173,Íñigo Martínez,Centre backs,162,0.37532679976363287,0.12789873252897646,0.7254974542936059,0.03675,Pedro Bigas,Centre backs
173,Íñigo Martínez,Centre backs,683,0.381733510174422,0.12546575760020276,0.7462447143379737,0.035,N. Pareja,Centre backs
173,Íñigo Martínez,Centre backs,1429,0.3827732624182568,0.1254022430061015,0.7469691056381191,0.03125,César Tárrega,Centre backs
173,Íñigo Martínez,Centre backs,1078,0.38554378713766596,0.12947126382349242,0.7318555059877182,0.02825,J. Aidoo,Centre backs
173,Íñigo Martínez,Centre backs,152,0.38743569588421145,0.13141035657944067,0.7480314450941835,0.034,José Alberto Cañas,Centre backs
173,Íñigo Martínez,Centre backs,730,0.3912262797215545,0.16302088031120235,0.6975934496371344,0.0175,Aymeric Laporte,Centre backs
173,Íñigo Martínez,Centre backs,523,0.4009528387352319,0.12731865069672568,0.7825136386536851,0.03025,G. Krychowiak,Centre backs
173,Íñigo Martínez,Centre backs,124,0.40483023999133577,0.13703406010676933,0.7886472802666131,0.02225,F. Lejeune,Centre backs
173,Íñigo Martínez,Centre backs,151,0.4071263076912717,0.13793968596686554,0.7852667880928851,0.02675,Chechu Dorado,Centre backs
173,Íñigo Martínez,Centre backs,1259,0.4132856803408019,0.15100585628551116,0.7778480805876214,0.0215,Dani Vivian,Centre backs
