player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score
695,112366,M. Layún,2,0.7750767185671102,1.823037176272335,-1.304601521409721
696,112370,D. Reyes,2,5.2332142515666,-2.4510347533990635,0.650870618346798
697,112459,H. Herrera,3,3.314391069573029,3.547754531573104,1.642668062873796
698,112522,J. Corona,1,-3.9323256000475744,3.241142165164537,0.63046090401406
699,112545,N. Araújo,4,5.174318079170247,-1.6882107536534254,1.5638192182891044
700,112556,J. Aquino,1,-2.672187100578262,3.20915260162764,-0.3592402623105209
701,112596,J. Martínez,1,-5.613605305425677,-2.3247316436688137,2.308021241339992
702,114055,Ó. Romero,1,-2.733446991309208,4.8955774543143455,0.5576889720010066
703,114709,L. Advíncula,1,0.20156944681296374,0.6452513412456972,-0.6405642550530893
704,116161,NA,1,3.576154118235529,0.21076136222794808,-2.5945237608903637
705,116170,S. Cristóforo,3,2.291298215911141,0.17893774663216094,-1.4555624214046161
706,116259,G. Silva,2,5.046168821193832,-0.9771593095287985,-0.9016027351870973
707,116283,D. Rolán,2,-4.216617873032188,-0.5256451182235085,-0.03951694018221579
708,116299,L. Olaza,4,2.010877510557378,1.7276273219424179,-1.0535875672115433
709,116319,M. Santos,2,-6.344021110788928,-3.493977416718588,-0.7475787595277759
710,116405,E. Velázquez,3,5.201034474197982,-2.5436408392660828,-1.7012610240290347
711,116898,D. Machís,7,-4.711795650496952,0.9186747102208838,-1.8579194628524658
712,122859,Y. El-Arabi,2,-5.32862231063843,-3.9681005229264747,1.5621857908679724
713,125250,Ó. Duarte,7,5.151609238885885,-2.848915163906563,1.0077024040730649
714,127591,A. Pantić,2,4.667909446564439,-4.1940120807725085,-0.5841895796068112
715,127598,G. Čaušić,1,1.661136355826502,-0.9251751290099596,-0.05123970086395152
716,127609,F. Malbašić,1,-3.7336825875413804,-1.6908830320418216,-2.262997001916026
717,127719,A. Katai,1,-3.70723564290491,1.1811452492400984,-0.845857867099828
718,127928,D. Brašanac,8,-0.5200500936105461,-1.324492548984992,-0.6898016654905813
