parameter,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
sigma_epsilon_sd,per90_fouls_suffered,0.4089036710825,0.408842325,0.00477040794019122,0.401112632,0.41687884099999994,0.4156484494917095,-0.0067447784092095064,1.001431338899547,3035.922683254754,2677.9504274471847
sigma_epsilon_sd,per90_yellow_cards,0.3668973628275,0.366728405,0.00449579568874026,0.35967330649999996,0.374687836,0.3657285953406244,0.0011687674868756104,1.0009284908152531,3562.4756060522873,3442.527879717469
Sigma_a_diag,per90_goals,0.295809109875,0.29530132,0.01321836693856786,0.2752310425,0.3185423105,0.2785747881351361,0.01723432173986389,1.0042543006111742,955.3427646092812,1901.8198057430095
Sigma_a_diag,per90_assists,0.7605573552075,0.7594535099999999,0.0308377169813953,0.7117463039999999,0.8128760294999999,0.7207426461779534,0.03981470902954665,1.0060955901061417,469.9718740815928,1292.6426155662043
Sigma_a_diag,per90_xg_shot,0.1779143987875,0.177758865,0.00849339457806773,0.164191314,0.1920477635,0.16908153466284168,0.008832864124658335,1.0053780938708694,983.1082379065095,1885.009966843073
Sigma_a_diag,per90_xg_assist,0.2980512732275,0.29773107,0.01238248373255116,0.2785081545,0.318948842,0.2721289830458493,0.02592229018165071,1.0049623525678923,563.4062045237807,1230.7175255187285
Sigma_a_diag,per90_shots,0.236321364655,0.236038095,0.01324304553793473,0.2154340535,0.2589678665,0.2366957708593324,-3.744062043324059e-4,1.0041098695533324,1488.330396219145,2660.50086589412
Sigma_a_diag,per90_head_shots,0.1546015798625,0.15445218,0.0101471383729857,0.1383956965,0.17156228950000002,0.14856056309448956,0.006041016768010443,1.0064389329433687,1618.8004224625577,2636.855454529059
Sigma_a_diag,rate_shots_on_target,0.11073574482475,0.1105247,0.0073941232368728,0.0989223019,0.1233034915,0.09916312383397889,0.01157262099077111,1.0021287428866572,1808.4418946637072,2830.534428836324
Sigma_a_diag,rate_goal_conversion,0.1330776029275,0.133016075,0.00782408151818652,0.1202284285,0.1462419585,0.12587885283289052,0.007198750094609491,1.0028879241197477,1051.2962285127237,2451.9713046347783
Sigma_a_diag,per90_received_pass,0.11583350848225,0.115608275,0.00669318623588579,0.105270702,0.12705311449999998,0.12465804298096808,-0.008824534498718076,1.0013827883957187,1497.8023832616334,2408.051844120865
Sigma_a_diag,per90_passes,0.06421298115675,0.06393370500000001,0.00578174092429026,0.05511557105,0.07420650725,0.0572478965559363,0.006965084600813701,1.0010630228356516,1725.5991321502015,2877.4174568841327
Sigma_a_diag,per90_forward_passes,0.032070026686,0.03193654749999999,0.00382586181550594,0.0259835956,0.03837542044999999,0.029689489127732067,0.002380537558267934,1.001028582804694,1452.4578302645684,1917.241582657932
